EPVR,TSR,URR,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,family,method,repair_f1,repair_precision,repair_recall
0.4,0.48,0.0,0.0,744.8991284237532,0.0,5.0,F1,react,0.0,0.0,0.0
0.4,0.48,0.0,1.0,1613.9151600801517,0.0,6.0,F2,react,0.0,0.0,0.0
0.4,0.44,0.0,0.0,740.320277404099,0.0,5.0,F3,react,0.0,0.0,0.0
0.4,0.46,0.0,1.0,1434.6396238012762,0.0,6.0,F4,react,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1823.2208324872256,0.0,7.0,F5,react,0.0,0.0,0.0
0.4,0.54,0.0,1.0,1916.0628087607388,0.0,8.0,F6,react,0.0,0.0,0.0
0.4,0.48,0.0,0.0,744.8991284237532,0.0,5.0,F1,schema_aware,0.0,0.0,0.0
0.4,0.48,0.0,1.0,1613.9151600801517,0.0,6.0,F2,schema_aware,0.0,0.0,0.0
0.4,0.44,0.0,0.0,740.320277404099,0.0,5.0,F3,schema_aware,0.0,0.0,0.0
0.4,0.46,0.0,1.0,1434.6396238012762,0.0,6.0,F4,schema_aware,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1823.2208324872256,0.0,7.0,F5,schema_aware,0.0,0.0,0.0
0.4,0.54,0.0,1.0,1916.0628087607388,0.0,8.0,F6,schema_aware,0.0,0.0,0.0
1.0,1.0,0.0,0.0,819.3612374139468,0.0,5.6,F1,strict,0.6842105263157895,0.52,1.0
1.0,1.0,0.0,1.0,1702.0939340821537,0.0,6.6,F2,strict,0.6842105263157895,0.52,1.0
1.0,1.0,0.0,0.0,799.2013231104455,0.0,5.6,F3,strict,0.717948717948718,0.56,1.0
1.0,1.0,0.0,1.0,1526.967991091301,0.0,6.6,F4,strict,0.7012987012987013,0.54,1.0
0.0,0.0,0.0,1.0,2397.9588157953485,0.18,8.8,F5,strict,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1986.517736823276,0.0,8.6,F6,strict,0.6301369863013699,0.46,1.0
0.88,0.96,0.0,0.0,796.2274862348959,0.0015833333333333335,5.48,F1,proposed,1.0,1.0,1.0
0.84,0.92,0.0,1.0,1666.606235025269,0.0025,6.44,F2,proposed,1.0,1.0,1.0
0.92,0.96,0.0,0.0,782.1114654499255,0.00125,5.52,F3,proposed,1.0,1.0,1.0
0.88,0.94,0.0,1.0,1493.2131886064299,0.0016875000000000002,6.48,F4,proposed,1.0,1.0,1.0
0.0,0.0,0.0,1.0,2397.9588157953485,0.18,8.8,F5,proposed,0.0,0.0,0.0
0.82,0.96,0.0,1.0,1943.3539673131206,0.0017083333333333334,8.42,F6,proposed,1.0,1.0,1.0
