EPVR,OURR,TSR,URR,VURR,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,family,method,repair_auc,repair_f1,repair_pr_auc,repair_precision,repair_recall
1.0,0.0,0.7,0.0,0.0,0.0,744.8991284237532,0.0,5.0,F1,react,0.6943521594684385,0.0,1.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,1.0,1613.9151600801517,0.0,6.0,F2,react,0.5357142857142857,0.0,1.0,0.0,0.0
1.0,0.0,0.7,0.0,0.0,0.0,740.320277404099,0.0,5.0,F3,react,0.43451143451143454,0.0,1.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,1.0,1434.6396238012762,0.0,6.0,F4,react,0.6612466124661247,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1356.038214294375,0.0,5.0,F5,react,0.5436507936507936,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1358.2276699479987,0.0,5.0,F6,react,0.5446428571428571,0.0,1.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,744.8991284237532,0.0,5.0,F1,schema_aware,0.6943521594684385,0.0,1.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,1.0,1613.9151600801517,0.0,6.0,F2,schema_aware,0.5357142857142857,0.0,1.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,740.320277404099,0.0,5.0,F3,schema_aware,0.43451143451143454,0.0,1.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,1.0,1434.6396238012762,0.0,6.0,F4,schema_aware,0.6612466124661247,0.0,1.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,736.786752885568,0.0,5.0,F5,schema_aware,0.5436507936507936,0.0,1.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,1.0,1968.6384213794734,0.0,8.0,F6,schema_aware,0.5446428571428571,0.0,1.0,0.0,0.0
1.0,0.5,0.84,0.0,0.0,0.0,840.389869956784,0.0,5.98,F1,strict,0.9867109634551495,0.24561403508771928,0.9093537414965986,0.14,1.0
1.0,0.5238095238095238,0.86,0.0,0.0,1.0,1780.672224833787,0.0,7.42,F2,strict,0.8571428571428571,0.2758620689655173,0.7713789682539682,0.16,1.0
1.0,0.5,0.96,0.0,0.0,0.0,913.7708131939586,0.0,6.28,F3,strict,0.7983367983367984,0.41269841269841273,0.6856526082613038,0.26,1.0
1.0,0.47368421052631576,0.88,0.0,0.0,1.0,1594.9096025594836,0.0,7.04,F4,strict,0.9322493224932249,0.3050847457627119,0.8412257495590831,0.18,1.0
0.32,0.6666666666666666,0.98,0.0,0.0,1.0,1920.7186866327638,0.08305416666666667,8.24,F5,strict,0.5634920634920635,0.43750000000000006,0.7552998487209014,0.28,1.0
0.66,0.6666666666666666,0.86,0.0,0.0,1.0,2121.0956208523967,0.04225416666666667,9.56,F6,strict,0.6875,0.2758620689655173,0.5466340530814214,0.16,1.0
0.9,0.2727272727272727,0.84,0.0,0.0,0.0,827.6537094220173,0.0007500000000000001,5.88,F1,proposed,0.9867109634551495,0.7777777777777778,0.9093537414965986,0.6363636363636364,1.0
0.96,0.47368421052631576,0.86,0.0,0.0,1.0,1775.6114940108519,0.0003333333333333333,7.38,F2,proposed,0.8571428571428571,0.5925925925925926,0.7713789682539682,0.42105263157894735,1.0
0.84,0.5,0.88,0.0,0.0,0.0,901.3087011985995,0.0022500000000000003,6.12,F3,proposed,0.7983367983367984,0.5142857142857142,0.6856526082613038,0.4090909090909091,0.6923076923076923
0.94,0.375,0.88,0.0,0.0,1.0,1583.9541548627801,0.00037500000000000006,6.98,F4,proposed,0.9322493224932249,0.72,0.8412257495590831,0.5625,1.0
0.24,0.6341463414634146,0.98,0.0,0.0,1.0,1913.6673112602473,0.08347083333333334,8.16,F5,proposed,0.5634920634920635,0.5090909090909091,0.7552998487209014,0.34146341463414637,1.0
0.6,0.7083333333333334,0.82,0.0,0.0,1.0,2116.028617794621,0.0433375,9.5,F6,proposed,0.6875,0.375,0.5466340530814214,0.25,0.75
